Common name,Scientific name,Status,No.,No. Back
Grey Partridge,Perdix perdix,,311,59
Daurian Partridge,Perdix dauurica,,6,0
Copper Pheasant,Syrmaticus soemmerringii,,0,0
Reeves's Pheasant,Syrmaticus reevesii,,13,0
Mikado Pheasant,Syrmaticus mikado,,9,0
Elliot's Pheasant,Syrmaticus ellioti,,1,0
Mrs. Hume's Pheasant,Syrmaticus humiae,,6,0
Golden Pheasant,Chrysolophus pictus,,21,3
Lady Amherst's Pheasant,Chrysolophus amherstiae,,21,5
Common Pheasant,Phasianus colchicus,,642,8126
Green Pheasant,Phasianus versicolor,,4,6
Cheer Pheasant,Catreus wallichii,,10,1
Tibetan Eared Pheasant,Crossoptilon harmani,,14,0
White Eared Pheasant,Crossoptilon crossoptilon,,13,1
Brown Eared Pheasant,Crossoptilon mantchuricum,,15,1
Blue Eared Pheasant,Crossoptilon auritum,,8,0
Edwards's Pheasant,Lophura edwardsi,,0,0
Swinhoe's Pheasant,Lophura swinhoii,,13,0
Bulwer's Pheasant,Lophura bulweri,,4,1
Kalij Pheasant,Lophura leucomelanos,,20,2
Silver Pheasant,Lophura nycthemera,,16,1
Crestless Fireback,Lophura erythrophthalma,,1,0
Siamese Fireback,Lophura diardi,,24,1
Salvadori's Pheasant,Lophura inornata,,2,0
Crested Fireback,Lophura ignita,,19,0
Vietnamese Crested Argus,Rheinardia ocellata,,2,1
Malayan Crested Argus,Rheinardia nigrescens,,0,0
Great Argus,Argusianus argus,,88,38
Congo Peafowl,Afropavo congensis,,2,0
Indian Peafowl,Pavo cristatus,,100,110
Green Peafowl,Pavo muticus,,16,3
Green-legged Partridge,Tropicoperdix chloropus,,52,5
Chestnut-necklaced Partridge,Tropicoperdix charltonii,,40,6
Crimson-headed Partridge,Haematortyx sanguiniceps,,35,0
Red Spurfowl,Galloperdix spadicea,,30,0
Painted Spurfowl,Galloperdix lunulata,,4,0
Sri Lanka Spurfowl,Galloperdix bicalcarata,,29,0
Palawan Peacock-Pheasant,Polyplectron napoleonis,,8,1
Bornean Peacock-Pheasant,Polyplectron schleiermacheri,,32,0
Malayan Peacock-Pheasant,Polyplectron malacense,,45,2
Germain's Peacock-Pheasant,Polyplectron germaini,,23,4
Hainan Peacock-Pheasant,Polyplectron katsumatae,,3,0
Grey Peacock-Pheasant,Polyplectron bicalcaratum,,51,8
Mountain Peacock-Pheasant,Polyplectron inopinatum,,9,0
Bronze-tailed Peacock-Pheasant,Polyplectron chalcurum,,14,0
Mountain Bamboo Partridge,Bambusicola fytchii,,16,4
Chinese Bamboo Partridge,Bambusicola thoracicus,,32,10
